animal	y
animal_1	2,528132026
animal_2	1,44348297
animal_3	1,115552988
animal_4	2,016231537
animal_5	0,082671914
animal_6	1,807652539
animal_7	-0,041902931
animal_8	-2,435009372
animal_9	-0,961781821
animal_10	-3,56122467
animal_11	-3,682798949
animal_12	-3,216541021
animal_13	8,111761657
animal_14	-2,683681415
animal_15	8,370566521
animal_16	2,945977116
animal_17	1,349681613
animal_18	0,165414244
animal_19	-2,34345828
animal_20	-1,544315334
animal_21	-1,65953162
animal_22	-3,442167511
animal_23	-0,147965873
animal_24	2,533694169
animal_25	-2,271263572
animal_26	1,765145744
animal_27	1,674179463
animal_28	-0,700322572
animal_29	4,023027326
animal_30	2,822544924
animal_31	4,659655759
animal_32	-0,252523053
animal_33	2,497279392
animal_34	0,068866918
animal_35	5,684383838
animal_36	3,499363614
animal_37	1,261812361
animal_38	0,159152202
animal_39	0,181004199
animal_40	-3,660268577
animal_41	-2,483735769
animal_42	0,267389248
animal_43	-2,329502546
animal_44	-1,980003492
animal_45	-3,210209372
animal_46	-1,315732179
animal_47	-0,479499803
animal_48	-1,30115554
animal_49	4,605839458
animal_50	-0,298975174
animal_51	-2,269283328
animal_52	-0,927816356
animal_53	3,724429191
animal_54	-0,115388873
animal_55	5,684393587
animal_56	0,386330284
animal_57	-4,092674605
animal_58	3,148202925
animal_59	0,36938324
animal_60	1,847700612
animal_61	0,848144112
animal_62	4,354713591
animal_63	0,003092835
animal_64	6,459916629
animal_65	3,177234065
animal_66	3,420066862
animal_67	-3,211653501
animal_68	-2,241112764
animal_69	-0,452882279
animal_70	-4,875467485
animal_71	-1,905789326
animal_72	0,914864942
animal_73	0,760704298
animal_74	1,606732098
animal_75	2,851050792
animal_76	-2,70695461
animal_77	0,304946706
animal_78	0,145265071
animal_79	0,940801681
animal_80	8,914266345
animal_81	1,861505204
animal_82	-0,186081467
animal_83	-4,79948136
animal_84	1,372425079
animal_85	2,308717916
animal_86	1,685446253
animal_87	1,557167688
animal_88	4,096466503
animal_89	-0,876149092
animal_90	-0,934998738
animal_91	-0,233448823
animal_92	-0,246880251
animal_93	3,23551023
animal_94	4,284169458
animal_95	1,865452966
animal_96	-0,988317524
animal_97	-5,497475928
animal_98	-1,749205644
animal_99	-3,782378644
animal_100	8,038855492
animal_101	-2,093231668
animal_102	-5,473064925
animal_103	-1,351935478
animal_104	-1,311371526
animal_105	-5,839117632
animal_106	0,769391554
animal_107	6,867835647
animal_108	0,131989115
animal_109	4,436087772
animal_110	5,530972784
animal_111	1,440041
animal_112	-5,481830392
animal_113	-0,775416102
animal_114	0,791840236
animal_115	1,671646114
animal_116	-0,125095183
animal_117	1,157875206
animal_118	0,25028982
animal_119	2,28097365
animal_120	3,512848672
animal_121	2,144365365
animal_122	-4,04011171
animal_123	-3,169276602
animal_124	-1,574960968
animal_125	0,700196703
animal_126	-3,37200969
animal_127	3,924803163
animal_128	1,372998516
animal_129	-6,712517955
animal_130	-2,498331363
animal_131	1,234255546
animal_132	3,608602776
animal_133	2,049407037
animal_134	-4,981538301
animal_135	5,818012839
animal_136	0,714783896
animal_137	4,277744724
animal_138	-2,354057591
animal_139	0,517033602
animal_140	-2,096753646
animal_141	7,345617646
animal_142	-4,084136733
animal_143	3,309337227
animal_144	-3,789075358
animal_145	-2,157594302
animal_146	4,234082344
animal_147	-1,87816378
animal_148	6,832919408
animal_149	1,251004604
animal_150	-0,244873605
animal_151	0,619151597
animal_152	-5,656180912
animal_153	-0,538596272
animal_154	2,987894182
animal_155	0,55985095
animal_156	-2,18356395
animal_157	2,519645067
animal_158	-0,02844267
animal_159	1,84532876
animal_160	1,715164206
animal_161	2,352400658
animal_162	-1,770785308
animal_163	3,939449629
animal_164	-8,850934491
animal_165	-1,460178621
animal_166	-2,353697353
animal_167	2,4879315
animal_168	-3,019905856
animal_169	0,807281598
animal_170	4,528069215
animal_171	-2,680628449
animal_172	0,752115242
animal_173	3,920685544
animal_174	3,567298572
animal_175	-2,293789843
animal_176	-1,212406268
animal_177	1,177067433
animal_178	-7,718992509
animal_179	-2,332128352
animal_180	-0,904089845
animal_181	-3,291487317
animal_182	0,908052672
animal_183	2,644560205
animal_184	-0,126703322
animal_185	-0,515255574
animal_186	-3,354683747
animal_187	0,313709045
animal_188	4,978700036
animal_189	-2,006406394
animal_190	-2,986659275
animal_191	-1,293489537
animal_192	-0,9277896
animal_193	4,903308618
animal_194	-3,573739178
animal_195	5,042955971
animal_196	-0,413792181
animal_197	-2,023945455
animal_198	7,076508116
animal_199	-3,6022647
animal_200	2,596579737
