animal	y
animal_1	3,313772508
animal_2	3,578297618
animal_3	1,131328013
animal_4	-0,376134544
animal_5	4,007048771
animal_6	-4,038319882
animal_7	7,47735953
animal_8	-1,76780919
animal_9	-1,274521008
animal_10	3,277282244
animal_11	-7,814685315
animal_12	-1,783125194
animal_13	1,660243247
animal_14	-4,1048354
animal_15	3,996261601
animal_16	-5,22744864
animal_17	-1,410702917
animal_18	-0,897925906
animal_19	5,135405793
animal_20	6,276728394
animal_21	3,58138449
animal_22	-1,957857669
animal_23	1,212383349
animal_24	0,221431704
animal_25	3,51924195
animal_26	2,668909364
animal_27	-1,772901442
animal_28	0,455885674
animal_29	1,741860267
animal_30	1,954092957
animal_31	-1,293335882
animal_32	3,985970186
animal_33	1,658418377
animal_34	2,946678895
animal_35	-0,241533162
animal_36	1,883407217
animal_37	0,319781234
animal_38	2,290161543
animal_39	-4,329573237
animal_40	1,633087977
animal_41	-1,420650242
animal_42	-1,00437012
animal_43	-1,53666592
animal_44	0,03888271
animal_45	0,131979823
animal_46	-0,511500359
animal_47	-0,092665715
animal_48	-1,090825315
animal_49	1,414209986
animal_50	-0,821567487
animal_51	-1,741853705
animal_52	4,085393965
animal_53	2,568202008
animal_54	-0,381126484
animal_55	-7,09503862
animal_56	4,166674689
animal_57	-5,204179013
animal_58	-2,133862396
animal_59	-5,259604607
animal_60	1,845075353
animal_61	1,837916807
animal_62	-0,581096198
animal_63	-1,441090624
animal_64	-2,156498837
animal_65	-5,351911522
animal_66	6,670775414
animal_67	-4,323660376
animal_68	0,652882017
animal_69	2,771508905
animal_70	1,292072613
animal_71	-2,246663627
animal_72	-4,000325383
animal_73	-1,482698652
animal_74	-0,076962244
animal_75	-1,964234395
animal_76	2,87667579
animal_77	-1,7656811
animal_78	-1,378001256
animal_79	-0,042497086
animal_80	5,04560581
animal_81	0,998743731
animal_82	1,035178239
animal_83	-0,982776165
animal_84	-2,594455846
animal_85	-0,82419123
animal_86	0,63896223
animal_87	-2,650561179
animal_88	4,728295815
animal_89	0,619589022
animal_90	-2,531860439
animal_91	-0,33409408
animal_92	1,089383932
animal_93	1,229049608
animal_94	0,947592099
animal_95	-1,243349254
animal_96	1,615079847
animal_97	-2,213218729
animal_98	0,520762623
animal_99	0,458757355
animal_100	3,371117463
animal_101	-2,37008215
animal_102	0,659785074
animal_103	-2,491189157
animal_104	2,930962401
animal_105	-3,9445287
animal_106	3,12520606
animal_107	-0,344206505
animal_108	-1,456857871
animal_109	-1,14665391
animal_110	-1,719618337
animal_111	-0,848972619
animal_112	3,121709443
animal_113	-2,110108438
animal_114	0,07605639
animal_115	1,124473991
animal_116	3,266427669
animal_117	2,107165066
animal_118	0,759401349
animal_119	-0,466417011
animal_120	1,833531545
animal_121	1,015194894
animal_122	-0,86272871
animal_123	-4,830476425
animal_124	-1,9819511
animal_125	-2,560351943
animal_126	-9,65428373
animal_127	3,649470029
animal_128	-0,047194163
animal_129	1,30673582
animal_130	0,135673187
animal_131	-0,59650314
animal_132	-2,424966406
animal_133	0,042884708
animal_134	-2,004095409
animal_135	-5,267039705
animal_136	3,93439419
animal_137	6,540741897
animal_138	1,496816079
animal_139	-2,243934125
animal_140	0,242231454
animal_141	-2,342757723
animal_142	-0,063581352
animal_143	1,970313929
animal_144	1,032038511
animal_145	-1,110576223
animal_146	0,770516628
animal_147	2,124680236
animal_148	2,323350679
animal_149	0,64901128
animal_150	1,011214857
animal_151	-0,649646364
animal_152	2,089300932
animal_153	1,153905275
animal_154	-5,067644455
animal_155	1,423052096
animal_156	2,582403422
animal_157	0,561076152
animal_158	-0,425305206
animal_159	-2,592436687
animal_160	-4,441743369
animal_161	1,303608089
animal_162	-1,898623783
animal_163	0,332223246
animal_164	2,487294604
animal_165	2,283228281
animal_166	-1,855895066
animal_167	-1,604524344
animal_168	-2,723565152
animal_169	0,702523742
animal_170	-4,623766174
animal_171	-1,505013795
animal_172	2,200234963
animal_173	3,418843493
animal_174	-1,466200328
animal_175	0,806423967
animal_176	-0,58439028
animal_177	-3,880974366
animal_178	1,53729779
animal_179	-2,195897297
animal_180	0,477200326
animal_181	4,198542613
animal_182	-0,752334841
animal_183	-4,274984153
animal_184	-6,513245661
animal_185	1,512799976
animal_186	0,375373512
animal_187	-1,259913944
animal_188	1,692433358
animal_189	4,395053969
animal_190	3,555439581
animal_191	3,098151395
animal_192	1,380480536
animal_193	1,009925142
animal_194	-7,142600856
animal_195	-3,768677066
animal_196	-0,809327417
animal_197	1,459371404
animal_198	-2,672531228
animal_199	2,844808023
animal_200	-3,613002515
